name;address;number_of_floors;number_of_shops
Налоговый;д. Яхрома пер. Нижний д. 317 стр. 88 962853;15;210
Сынок;к. Ямбург пр. Олега Кошевого д. 64 772238;14;182
Мгновение;д. Тихорецк ш. Полевое д. 57 к. 33 155424;19;247
Господь;с. Тосно наб. Средняя д. 9/1 стр. 72 277501;2;28
Радость;с. Токсово пер. Октябрьский д. 87 стр. 347 444706;1;20
Инфекция;ст. Шенкурск бул. Огородный д. 6/7 стр. 8/7 786911;10;110
Порт;д. Горно-Алтайск наб. Социалистическая д. 101 к. 62 956883;19;380
Сбросить;к. Шали алл. Нефтяников д. 8/2 к. 704 845881;2;30
Лапа;п. Петрозаводск алл. Слободская д. 98 к. 3 232671;13;234
Славный;п. Гремячинск (Перм.) ул. Вокзальная д. 2 330918;2;40
Важный;д. Озеры алл. Пушкина д. 2 к. 555 327737;4;48
Товар;п. Алапаевск пер. Тукая д. 3 к. 9 067651;1;15
Равнодушный;ст. Апшеронск ш. Крылова д. 3 стр. 7 588569;12;180
Направо;г. Балтийск наб. Белинского д. 9/7 415743;9;135
Жидкий;ст. Балашиха ул. Комарова д. 5/3 к. 6 573416;17;289
Другой;с. Котельнич алл. Прибрежная д. 4/1 к. 4/8 289649;4;80
Точно;д. Шенкурск пер. Фурманова д. 1/8 стр. 54 814119;7;77
Научить;г. Бологое алл. Котовского д. 497 741883;13;234
Роса;ст. Сортавала пр. Локомотивный д. 3 к. 316 361549;14;266
Совещание;ст. Руза ш. Волочаевское д. 638 стр. 178 464565;4;68
Сопровождаться;ст. Мостовской ул. Сплавная д. 60 683886;16;272
Лиловый;с. Уссурийск пер. Октябрьский д. 84 к. 12 534671;4;64
Что;г. Сыктывкар ш. Ленинградское д. 8/9 355689;1;17
Достоинство;ст. Мичуринск бул. Тракторный д. 86 705189;20;200
Монета;ст. Новая Игирма ул. Братская д. 30 стр. 8 756909;15;180
Салон;п. Старый Оскол наб. Крестьянская д. 522 стр. 245 707356;20;360
Страсть;п. Ульяновск ш. Революции д. 3 697851;15;195
Сынок;к. Магас ш. Пригородное д. 1/3 464251;16;272
Покидать;с. Усть-Кут наб. Металлистов д. 310 стр. 14 604714;4;40
Вскакивать;к. Апрелевка ул. Плеханова д. 1 стр. 7/9 545437;18;288
Коробка;п. Приозерск пер. Островского д. 61 к. 202 258542;18;234
Житель;п. Мостовской пр. Стадионный д. 1 стр. 9 092294;1;10
Социалистический;г. Кимры наб. Победы д. 74 403451;1;13
Бегать;клх Кулу ул. Достоевского д. 9/3 к. 3/7 082687;16;320
Налево;с. Великий Устюг ул. Попова д. 9 к. 5 319031;4;60
Бетонный;п. Анива ш. Луначарского д. 99 802295;1;15
Умолять;г. Внуково (метеост.) ул. Кольцова д. 988 стр. 1/4 574683;12;180
Угодный;клх Игнашино ш. Краснопартизанское д. 1 273602;2;22
Торопливый;г. Алексин пер. Карьерный д. 9 382545;3;60
Природа;г. Смирных алл. Короленко д. 9 941838;18;288
Выгнать;д. Тобольск наб. Каштановая д. 57 к. 77 765118;11;209
Скрытый;п. Нефтекамск ул. Веселая д. 1/5 к. 6 721952;9;90
О;п. Вилюйск пр. Красноярский д. 746 к. 494 962258;12;120
Ремень;п. Торжок пер. Льва Толстого д. 1 стр. 4/6 649401;1;10
Грудь;к. Муром пр. Почтовый д. 9 к. 5/7 063786;17;221
Налоговый;г. Тула ул. Проточная д. 53 к. 8 237597;17;289
Табак;ст. Сеймчан ш. Кузнецкое д. 608 стр. 5 040902;12;132
Тута;клх Таштагол бул. Карьерный д. 800 488135;9;153
Тревога;к. Ивдель наб. Малая д. 15 872768;1;16
Правильный;с. Ряжск ш. Партизанское д. 6/3 стр. 8 315871;8;88
Изредка;к. Бавлы бул. Гражданский д. 661 721472;19;266
