id_shop;id_brand
227;975
396;151
262;983
61;610
891;906
45;666
108;949
451;234
799;315
576;814
968;950
796;376
527;516
342;83
992;485
377;613
109;778
968;351
438;593
303;476
58;838
269;666
209;239
392;890
838;545
977;523
853;167
538;636
84;92
457;484
377;450
349;218
97;482
231;680
713;672
291;344
930;932
640;84
978;61
845;950
493;776
842;480
228;319
576;711
446;587
707;846
529;522
229;188
962;537
935;589
661;450
389;461
629;341
489;815
243;549
68;808
308;7
928;202
399;273
308;428
713;419
192;645
483;61
429;495
431;470
277;379
924;615
218;304
939;118
849;560
527;384
106;273
692;8
537;855
286;909
595;855
233;378
145;1000
224;105
581;607
467;420
698;614
571;329
536;198
952;308
379;639
166;268
820;791
36;22
464;380
841;472
392;290
199;179
779;668
446;739
254;281
298;838
909;256
365;202
330;500
206;189
466;724
860;559
771;725
337;183
41;805
753;379
741;290
343;94
467;83
332;906
994;836
375;101
700;545
92;560
269;212
589;231
654;1
99;606
559;309
848;307
160;262
624;318
498;1000
613;317
993;186
157;442
455;387
294;765
992;731
459;174
578;842
903;164
67;896
843;738
94;962
553;350
65;352
944;421
878;193
360;962
417;357
530;744
882;33
606;306
576;981
988;648
34;800
222;401
562;784
325;274
985;104
19;881
654;314
595;953
38;720
583;451
463;146
533;396
791;327
238;558
213;744
388;359
207;194
31;466
712;227
70;815
856;891
370;260
417;812
420;222
597;342
476;641
10;216
467;747
439;913
170;137
926;854
608;573
349;716
26;447
529;561
74;378
780;671
897;762
96;299
718;110
982;124
289;188
230;590
335;391
146;1
681;351
23;990
609;690
499;771
332;56
636;875
125;190
885;391
122;807
176;664
894;583
815;705
221;568
710;981
534;28
421;538
79;360
129;401
997;135
383;146
118;809
525;458
158;434
639;701
185;801
223;877
232;287
285;142
205;241
233;633
106;516
200;631
261;14
733;979
706;393
414;352
527;677
846;585
939;915
82;395
605;986
568;384
175;381
452;97
903;626
139;517
118;660
182;182
301;200
635;182
939;474
154;500
744;341
515;672
1;289
6;773
976;206
383;626
970;537
961;102
389;92
61;447
212;204
943;237
454;140
138;484
654;74
816;640
780;354
85;75
544;672
344;844
625;480
714;106
446;9
472;385
527;602
139;351
858;135
241;685
736;22
633;762
30;623
338;246
201;681
732;539
621;40
437;451
200;794
203;333
622;444
832;683
970;15
134;336
112;436
441;147
237;969
69;308
588;402
999;55
348;842
63;20
901;479
499;392
984;266
132;138
317;999
166;815
746;282
866;393
230;258
798;5
547;111
731;570
109;951
117;416
714;150
296;331
165;569
930;653
544;842
952;191
25;820
77;120
928;902
859;194
304;417
922;521
128;105
778;809
368;72
592;269
916;109
916;399
121;5
479;975
188;317
691;753
572;23
405;678
321;331
781;186
410;864
279;497
780;222
928;194
992;16
914;964
999;297
660;521
95;505
599;846
365;891
251;733
583;953
635;693
48;782
829;320
515;1
690;674
914;317
471;148
918;426
353;745
175;648
928;315
323;116
242;386
70;332
131;857
378;885
814;884
253;694
192;291
138;767
445;18
123;819
14;767
958;568
2;260
956;698
379;448
390;812
937;603
186;604
698;90
574;717
552;280
357;833
432;634
341;282
170;207
292;977
982;61
891;574
399;891
199;477
723;414
89;472
61;595
802;353
765;403
421;400
8;775
839;876
73;632
289;231
834;511
953;967
541;875
320;932
29;655
951;868
296;209
256;355
353;879
885;401
648;27
401;191
615;677
855;436
629;487
545;917
964;114
605;619
466;23
213;222
596;693
525;541
190;678
41;333
859;744
715;275
212;267
6;22
637;557
726;732
889;886
175;316
610;545
673;72
240;332
540;338
506;739
556;871
865;610
755;65
482;57
540;328
68;872
898;551
833;916
154;820
300;414
26;361
350;182
743;927
397;487
788;698
930;169
995;9
674;847
717;489
442;457
681;437
422;473
501;340
759;732
935;690
72;918
47;149
143;177
196;281
740;640
549;251
303;300
945;887
389;575
429;756
863;158
821;875
181;417
50;915
533;969
814;611
554;799
113;555
37;713
525;652
49;598
142;183
791;913
708;845
209;299
291;178
395;833
620;725
518;358
706;476
311;997
50;837
330;111
948;690
121;915
127;649
698;960
528;384
549;596
617;45
601;204
660;481
417;483
20;228
79;677
689;958
239;516
811;374
176;960
355;10
250;614
227;745
648;375
481;240
370;410
604;766
899;477
91;628
303;647
39;625
101;604
873;708
599;292
639;576
650;770
450;643
678;188
136;366
236;795
409;427
244;38
634;428
595;502
911;665
911;127
441;141
38;725
313;652
932;95
821;398
830;933
153;679
374;471
586;296
657;269
151;131
746;324
753;809
243;862
148;187
339;375
536;646
218;869
126;375
50;993
368;7
53;979
912;654
37;296
643;769
831;886
911;522
81;483
550;900
212;930
746;368
925;248
132;386
13;331
547;42
443;952
292;110
730;97
936;440
148;994
780;734
42;562
445;208
335;941
290;403
32;390
93;284
262;601
892;906
993;288
857;819
416;143
217;776
579;900
878;760
15;630
756;835
284;715
551;909
266;676
751;914
58;964
28;792
257;974
438;314
850;48
857;749
756;958
410;423
453;757
779;450
488;766
324;612
296;771
965;503
737;53
619;697
52;339
728;177
533;134
520;139
11;464
84;159
242;198
624;988
488;974
629;380
180;174
599;13
906;605
271;458
372;13
87;660
547;266
707;584
942;833
86;67
700;784
735;449
600;735
158;758
798;93
391;847
443;361
829;755
347;449
513;823
858;773
590;791
792;672
102;930
619;13
121;128
817;694
894;664
244;232
447;757
358;739
420;1
696;732
276;995
532;840
253;759
607;776
265;907
732;281
771;318
511;393
835;718
926;438
750;602
958;238
68;115
420;202
459;909
110;146
415;440
391;181
435;988
826;777
94;758
302;439
348;132
415;979
778;925
584;800
322;298
809;680
341;385
8;425
191;224
703;10
283;453
339;704
232;405
607;602
523;220
204;831
593;605
74;44
237;340
300;978
45;750
755;433
917;874
468;670
54;20
575;828
240;816
626;735
959;700
482;556
428;481
364;563
690;639
683;609
145;417
148;891
70;255
186;403
312;492
121;68
817;685
326;329
144;149
90;817
524;4
524;61
602;836
282;907
30;136
393;635
741;661
548;622
565;88
15;283
416;164
318;37
104;607
331;327
564;494
494;20
4;180
359;800
79;919
747;329
998;499
957;736
46;44
205;394
90;528
609;734
730;557
627;9
78;267
311;656
863;517
796;732
13;860
369;153
760;954
337;965
814;532
970;975
373;326
16;442
66;906
273;824
122;979
485;443
977;212
359;555
316;390
68;898
336;176
970;395
715;4
197;595
180;66
3;389
81;419
71;962
183;826
702;614
681;594
55;678
179;242
648;30
975;877
791;69
184;871
622;609
42;811
93;245
907;246
699;323
345;402
62;398
899;473
120;636
945;111
249;140
45;135
930;740
456;530
211;207
435;449
447;697
980;455
770;804
88;566
814;946
376;284
491;31
122;49
973;391
316;364
341;690
45;87
449;880
262;266
656;828
537;50
778;424
425;291
387;838
886;738
369;950
332;646
744;844
96;87
422;213
722;130
210;462
216;775
935;232
940;117
587;858
165;515
351;844
491;350
290;292
29;162
604;923
863;242
299;541
979;624
610;310
541;994
593;77
63;853
291;212
99;718
626;242
853;819
34;561
347;470
127;771
817;454
10;467
686;206
803;778
837;999
862;485
587;516
212;959
494;304
115;326
841;779
36;960
625;956
468;827
666;72
534;155
346;677
872;572
360;621
835;679
980;110
789;733
965;225
168;174
784;909
682;63
214;460
888;675
697;139
597;119
563;27
774;493
715;204
645;464
73;183
317;399
238;797
501;424
394;498
702;249
823;27
344;592
566;755
864;771
206;478
808;253
245;851
38;184
458;916
373;815
269;937
505;622
186;220
309;353
452;330
962;423
544;706
713;159
886;351
215;635
300;148
365;786
632;719
261;319
489;677
151;226
111;122
622;350
530;688
700;195
197;833
416;389
470;412
380;839
608;218
199;147
692;782
504;550
167;469
10;701
594;15
840;702
318;750
330;363
226;509
608;731
888;591
268;161
85;864
726;315
546;70
335;625
850;337
974;526
248;544
597;257
524;618
257;76
573;526
101;425
100;788
8;482
687;25
207;538
579;138
235;914
861;803
322;86
527;161
217;849
945;896
487;411
977;341
564;631
590;116
777;813
160;241
503;627
670;129
473;375
450;481
912;520
396;907
851;242
393;234
49;830
165;585
712;634
916;434
81;686
772;472
528;619
642;441
483;849
755;872
919;478
94;429
79;317
463;325
193;143
587;177
755;726
289;347
39;522
775;375
942;575
585;531
900;749
744;408
827;21
518;985
685;904
557;463
124;549
186;264
541;199
525;949
197;701
37;98
276;94
427;551
922;938
631;842
267;366
944;896
196;491
425;157
57;232
46;123
417;844
631;496
141;292
289;583
710;396
209;60
510;675
273;681
621;728
625;975
100;892
349;826
502;265
334;401
437;514
355;465
949;140
783;320
155;746
68;36
753;60
668;123
292;882
176;728
199;681
237;21
985;76
872;773
220;347
251;937
37;169
547;706
699;463
923;753
767;671
845;838
943;184
268;99
449;545
990;332
46;127
171;749
317;486
248;159
58;787
13;931
456;638
83;928
163;179
366;480
100;456
500;471
792;112
217;627
785;821
555;821
572;776
923;335
928;336
409;294
297;209
713;98
382;687
534;745
772;641
33;811
802;468
865;771
704;14
695;114
297;284
168;46
559;643
266;718
471;933
61;749
629;420
302;686
222;870
935;433
236;911
4;890
82;877
462;133
461;358
805;196
241;706
720;491
79;143
395;69
666;710
535;482
970;617
877;213
323;260
494;674
770;531
573;310
849;763
323;287
274;637
832;926
210;747
10;854
12;51
511;306
702;229
473;984
299;200
179;341
440;639
72;688
603;112
823;21
576;936
662;458
93;939
712;758
256;560
515;248
146;580
819;531
480;373
980;433
537;417
494;859
855;211
53;555
377;960
901;860
396;96
488;836
804;121
61;19
819;756
692;615
668;120
541;742
966;762
701;239
929;448
642;245
847;926
92;569
519;791
424;315
764;669
526;506
564;92
730;764
861;549
823;164
512;179
351;786
728;482
322;419
604;584
394;174
677;112
286;661
279;31
550;545
154;162
611;658
60;389
522;327
685;798
201;957
497;77
163;883
489;773
698;783
979;120
140;72
538;870
60;941
557;790
599;270
37;174
255;921
421;777
735;294
694;350
290;820
696;96
467;441
400;605
404;486
514;370
339;756
312;391
1;711
513;695
676;303
375;653
957;199
431;866
61;963
577;334
299;909
706;342
791;677
304;174
148;478
217;366
885;1
157;597
571;854
929;551
10;822
768;265
896;228
959;748
143;557
955;577
75;871
775;661
807;396
503;45
772;400
532;69
892;18
363;269
663;346
516;357
440;577
272;615
983;657
797;498
72;258
843;507
123;895
186;41
382;678
864;258
642;660
370;796
608;759
320;665
988;347
680;400
414;617
12;564
621;65
658;31
488;15
913;730
699;926
867;883
196;587
781;252
36;569
123;948
656;973
235;569
669;75
378;177
873;384
387;19
160;106
50;135
799;420
253;77
377;662
714;85
215;312
467;723
370;203
37;869
206;500
433;851
726;595
660;985
94;510
487;507
240;415
374;794
821;733
957;236
19;407
100;942
124;763
248;218
452;878
798;720
367;165
73;603
925;156
672;271
42;904
893;998
313;899
989;854
824;204
574;683
58;334
157;869
688;461
307;266
279;292
479;608
175;250
956;611
664;826
34;351
161;261
245;165
844;817
673;245
247;140
335;638
965;216
328;850
341;856
190;16
598;985
532;68
399;809
902;789
874;503
338;54
705;465
237;35
939;521
44;312
456;395
410;604
544;984
984;807
470;562
720;324
794;621
865;650
647;155
605;859
333;439
381;879
834;43
316;396
700;946
733;1000
962;38
654;346
697;50
20;715
285;514
633;372
519;840
132;625
463;919
979;876
990;120
16;507
166;812
994;737
288;289
783;497
523;869
678;525
689;330
822;702
301;474
774;58
585;488
442;931
193;539
543;351
151;734
64;275
565;283
173;450
98;134
839;259
187;344
523;110
768;259
840;198
538;440
477;867
229;621
417;39
179;416
791;301
94;794
248;834
222;978
173;579
609;586
46;723
717;475
663;720
113;768
610;398
268;753
2;991
676;259
430;187
600;83
710;648
61;378
266;757
263;301
629;753
725;375
395;666
680;98
730;18
547;473
153;337
306;597
595;53
430;899
182;499
895;602
981;315
343;385
534;644
787;152
543;219
13;505
827;327
243;691
718;909
40;428
382;368
995;577
163;674
323;252
464;819
888;70
416;988
681;918
26;248
408;40
939;839
230;747
928;596
436;522
455;667
421;787
245;778
109;108
538;77
664;561
883;679
883;794
597;946
600;911
804;663
334;59
559;20
675;431
718;288
937;634
483;835
905;368
85;420
86;936
273;438
579;916
202;476
629;382
529;796
28;164
139;257
503;505
614;463
129;40
445;48
772;595
867;285
266;581
363;736
789;413
727;426
80;794
248;290
61;629
813;627
388;1000
621;935
707;878
339;785
790;357
357;89
358;977
507;146
602;293
538;319
892;548
235;966
945;237
78;920
760;977
484;94
651;402
779;235
953;404
110;940
181;735
189;741
568;881
425;313
625;180
457;792
534;398
399;65
85;226
368;709
804;441
638;168
515;495
85;409
269;727
533;905
235;788
424;664
847;307
795;754
834;276
997;11
853;721
5;365
254;802
984;165
156;981
447;305
302;361
901;417
893;212
729;11
304;507
72;393
644;667
22;700
176;520
179;622
557;843
882;310
31;979
807;275
982;192
776;981
296;70
618;496
649;493
963;872
943;478
12;944
466;18
256;32
329;484
245;164
339;228
298;355
840;302
240;486
382;617
73;529
799;554
189;237
832;330
374;268
859;376
336;463
898;974
258;990
901;336
56;240
349;824
670;46
126;766
162;761
721;558
614;443
60;67
65;672
661;823
759;204
590;675
442;74
40;168
803;517
483;341
945;474
589;437
785;881
899;589
842;231
627;852
521;803
410;423
505;34
474;156
120;655
300;865
271;818
582;728
710;361
606;614
548;761
199;137
192;843
282;848
4;282
610;535
53;473
955;252
525;888
995;677
541;458
770;346
899;3
847;199
782;145
382;647
704;15
248;972
117;737
824;393
366;633
329;606
796;168
362;696
26;431
458;395
246;818
101;61
148;751
739;320
62;992
353;76
36;304
70;86
335;947
566;449
265;139
353;288
900;20
439;256
988;503
571;908
500;250
492;73
268;904
653;881
46;477
483;821
973;416
253;64
501;185
802;947
671;659
818;635
54;135
754;380
175;644
679;993
773;325
137;220
339;630
10;543
475;562
956;295
834;381
778;596
123;926
173;927
413;303
73;775
760;677
177;685
342;920
689;19
270;320
909;365
444;438
656;711
459;917
533;960
90;869
668;329
41;504
578;388
90;433
47;398
289;510
576;998
494;487
286;822
120;452
823;100
912;778
42;201
102;482
682;465
328;797
355;264
787;12
171;935
723;974
227;449
352;907
806;154
96;59
568;128
515;647
578;807
291;908
10;187
85;533
620;994
378;896
871;649
732;139
87;774
849;860
173;146
616;701
268;419
225;164
251;928
959;894
759;474
737;373
372;987
486;395
519;764
654;386
145;156
100;837
801;520
128;113
316;117
431;651
90;189
264;455
22;377
864;960
563;204
457;621
964;902
786;810
496;136
287;736
46;123
660;780
55;372
381;792
862;309
115;212
800;796
317;206
74;223
914;917
200;349
379;298
478;544
714;857
816;398
922;21
858;555
502;720
311;220
234;140
481;619
687;530
734;673
448;869
982;490
869;28
122;856
356;608
730;274
238;211
577;298
119;981
729;324
345;938
671;942
515;907
152;302
238;542
29;291
543;854
101;822
83;511
958;26
812;277
593;70
31;624
264;976
142;892
73;949
548;909
841;356
853;487
445;803
877;854
350;508
525;785
501;238
176;767
496;590
310;323
919;357
649;250
213;176
608;760
952;442
410;504
578;426
439;258
254;312
179;739
302;417
368;306
114;280
107;169
732;604
658;446
141;214
54;132
249;852
786;976
515;187
539;47
562;774
687;665
226;89
160;432
206;129
811;17
597;776
298;986
638;335
138;140
178;560
575;812
655;521
369;62
292;109
854;338
3;853
198;537
927;109
931;530
247;758
10;490
976;135
284;783
917;560
550;402
296;764
509;431
812;325
359;973
966;389
377;788
914;969
68;863
274;625
191;894
888;306
289;879
117;67
146;542
203;562
364;825
606;421
145;460
285;399
765;489
356;20
435;583
967;245
543;74
333;975
687;627
686;899
288;258
939;870
895;960
488;310
85;736
273;312
676;39
973;978
740;718
325;362
178;433
127;202
70;569
429;160
868;489
560;745
458;296
343;723
161;65
627;461
210;183
587;48
503;815
91;489
895;597
438;21
156;548
963;250
304;556
704;489
579;277
355;438
942;563
60;769
957;82
39;41
444;270
643;233
258;46
520;895
577;429
430;922
612;694
681;436
145;783
431;886
662;691
286;7
921;225
710;347
5;685
265;422
3;44
431;617
78;793
318;954
827;351
724;95
590;289
281;200
214;856
272;710
888;75
582;512
299;125
974;33
224;939
995;430
516;412
403;265
642;727
58;84
62;210
800;49
96;837
655;4
876;657
617;687
490;755
311;757
433;362
290;282
516;319
345;3
833;927
19;351
992;330
77;478
144;428
492;168
509;996
745;432
914;166
134;377
498;962
189;462
544;759
