НПО «Моисеева Гусева»;Танзания;2004;632
ЗАО «Борисова-Виноградов»;Бельгия;2000;66
ООО «Михеев Лапин»;Китай;1991;825
АО «Максимова-Семенова»;Перу;1941;680
ИП «Петрова, Якушев и Доронин»;Бельгия;1967;346
АО «Ефремова Фомичева»;Иордания;1910;651
НПО «Васильев-Русакова»;Судан;1905;282
ЗАО «Афанасьева»;Руанда;2011;625
ЗАО «Журавлева-Никитин»;Габон;1939;379
НПО «Капустин, Мясникова и Корнилов»;Италия;1929;648
ООО «Воронова, Максимов и Савельева»;Самоа;2019;576
ЗАО «Яковлев, Евсеева и Николаев»;Папуа;1981;189
РАО «Архипов Хохлов»;Боливия;1903;953
Кабанова Групп;Коморы;1959;421
Московский аэропорт Домодедово;Испания;1941;85
ИП «Мясникова-Смирнов»;Сальвадор;1990;590
НПО «Буров, Архипов и Носова»;Зимбабве;1926;163
ЗАО «Носков Громов»;Украина;1907;443
РАО «Богданов, Русакова и Исакова»;Чили;1933;575
ОАО «Казакова Кудряшова»;Папуа;2010;614
ИП «Кузьмина, Миронова и Исаева»;Сомали;1986;919
ИП «Меркушева Фролов»;Гвинея;1940;98
ООО «Исаев-Селезнева»;Швеция;1964;855
ООО «Федотов Зайцева»;Эритрея;2012;214
ООО «Уварова-Горбачева»;Кения;1905;602
Глория Джинс;Австралия;2018;331
НПО «Лихачева-Васильев»;Марокко;1919;862
ОАО «Терентьев»;Нидерланды;1904;592
Мельникова Групп;Пакистан;1975;272
ООО «Кузьмин Князева»;Вануату;1996;100
ИП «Белозерова-Муравьев»;Малави;2009;881
Концерн Титан-2;Оман;1922;329
Бобров Инк;Восточный Тимор;1939;922
АО «Воробьева, Гордеев и Пономарева»;Венесуэла;1944;699
Русал;Эритрея;1917;309
РАО «Князева, Казакова и Симонов»;Болгария;1960;521
ОАО «Агафонова, Фадеев и Беляев»;Азербайджан;1955;902
Мамонтов Инк;Румыния;1910;277
ЗАО «Сорокина-Пахомов»;Сейшельские Острова;2009;300
ИП «Тимофеева»;Сейшельские Острова;1968;980
ООО «Максимова Александрова»;Соломоновы Острова;2011;46
ОАО «Шашков, Бурова и Якушева»;Куба;2017;635
ООО «Матвеев»;Финляндия;1943;667
Группа Магнезит;Эритрея;2007;210
Котов Лимитед;Бурунди;1947;795
Полякова Инк;Малави;1910;266
ОАО «Дементьева»;Узбекистан;1907;49
ОАО «Кириллов-Данилов»;Буркина-Фасо;1986;82
Луидор;Ангола;1954;645
ООО «Егоров, Шилова и Осипов»;Ангола;2013;941
ИП «Архипова Цветков»;Мали;1930;624
Мишина Лимитед;Бахрейн;1907;123
ООО «Фомичев Колесников»;Словения;1997;297
АО «Русакова»;Боливия;1996;134
РусГидро;Южный Судан;1945;84
ООО «Виноградова»;Руанда;1961;892
НПО «Владимиров»;Катар;1980;481
ЗАО «Зимина Кулагин»;Камерун;1961;415
АО «Кулаков»;Федеративные Штаты Микронезии;2011;393
ОАО «Мельникова»;ОАЭ;2007;283
РАО «Сафонова Фомичев»;Финляндия;1925;618
ИП «Рябов, Стрелков и Григорьев»;Самоа;1991;996
Трофимова Инкорпорэйтед;Мальта;1904;505
Стройсервис;Израиль;1957;382
ОАО «Воробьев»;Республика Корея;1900;553
А Групп;Египет;1944;649
Степанова Групп;Либерия;1966;132
НПО «Казаков Кулакова»;ОАЭ;1935;994
Зерно-трейд;Сент-Люсия;1909;603
ОАО «Голубева»;Гана;1979;359
НПО «Некрасова-Панова»;Италия;1996;759
ИП «Федосеева Наумов»;Бруней;1968;477
Алексеев Лимитед;Бруней;1998;865
ОАО «Федотов, Рябова и Третьякова»;Мальта;1985;719
АО «Абрамова-Горшков»;Республика Конго;1979;636
РАО «Лихачева-Хохлова»;Ливан;2000;766
Газнефтетрэйдинг;Северная Македония;1972;107
Фаберлик;Камерун;1997;532
Степанов Лтд;Румыния;1985;476
Пермэнергосбыт;Сент-Люсия;1967;488
ИП «Уварова-Блинов»;Южный Судан;1946;188
ООО «Семенов-Муравьева»;Эстония;1922;803
АО «Кондратьев, Давыдов и Мартынов»;Эритрея;1936;10
Ренейссанс Хэви Индастрис Ronesans Endustri;Белоруссия;1980;743
АО «Родионов-Журавлев»;Босния и Герцеговина;2006;939
АО «Стрелкова»;Ямайка;1907;934
НПО «Гордеев»;Тувалу;1968;730
Игнатова Групп;Мальта;1991;162
Аксенов Групп;Сейшельские Острова;2019;582
ИП «Овчинников-Горшков»;Камерун;1967;8
ООО «Князева-Богданова»;Мавритания;1945;844
ОАО «Киселев, Ширяева и Попова»;Аргентина;1900;219
Смирнова и партнеры;Мьянма;1911;879
АО «Александрова, Сергеева и Крылова»;Куба;1962;848
Соколова и партнеры;Малави;1950;815
ИП «Костин»;Новая Зеландия;1953;237
РАО «Данилов-Щукина»;Израиль;1925;691
НПО «Миронова-Федорова»;Исландия;1924;918
Автодом;Мьянма;1933;301
Иванов Инк;Ботсвана;1980;501
КМР и СНГ (KIA);Коста-Рика;1908;595
ОАО «Васильев-Гуляев»;Армения;1966;522
ЗАО «Цветков-Кириллова»;Германия;1996;820
ИП «Ситников»;Гондурас;1985;650
Гала-Форм;Восточный Тимор;1916;451
Белова Групп;Сальвадор;1939;834
НПО «Юдина, Соколова и Калашников»;Мадагаскар;1953;281
ОАО «Лапина, Дроздов и Наумова»;Пакистан;2005;267
ОАО «Наумов»;Никарагуа;1952;232
НПО «Белова-Алексеева»;Греция;1942;173
Транснефть;Папуа;1929;430
РАО «Бирюков-Беляев»;Индия;2019;259
ЗАО «Ларионова»;Джибути;1998;539
